Year,Filière,Produit,Production,Superficie
2014,Agrumes,Petit fruit_Nules,167272.33333333253,7474.61
2014,Agrumes,Petit fruit_Ortanique,10605.37999999999,513.39
2014,Amandiers,Amandier,101025.38000000006,159100.12
2014,Céréales,Autres céréales,4852.4,3511.0
2014,Céréales,Avoine,36617.6,41832.0
2014,Céréales,Blé dur,1410178.371850579,904755.0
2014,Céréales,Blé tendre,3705705.8246072284,2081403.0
2014,Céréales,Mais,97378.9,137447.0
2014,Céréales,Orge,1638086.2258989124,1585216.0
2014,Céréales,Riz,33051.3,4406.84
2014,Céréales,Sorgho,4800.0,4800.0
2014,Fourragères,Autres cultures fourragères,92405.0,7497.983346288829
2014,Fourragères,Avoine vert,426616.5,33382.0
2014,Fourragères,Bersim,3422310.61,67874.9243
2014,Fourragères,Lupin,32056.0,1345.0
2014,Fourragères,Luzerne,5453523.78,107126.03301999989
2014,Fourragères,Mais fourrager,1492671.856,41006.32372
2014,Fourragères,Mélange fourrager,202625.0,17370.0
2014,Fourragères,Orge fourrager,1790687.965,108107.60365999998
2014,Fourragères,Pois fourrager,80586.0,16410.0
2014,Fourragères,Triticale,2560.0,495.0
2014,Fourragères,Vesce avoine,192653.0,14980.0
2014,Industrielles,Coriandre récoltée,450.0,300.0
2014,Industrielles,Câprier,26830.4,20868.0
2014,Industrielles,Henné,1200.0,1800.0
2014,Industrielles,Safran,5.0,1000.0
2014,Industrielles,Tabac,350.0,400.0
2014,Légumineuses,Autres légumineuses,32270.3,24050.0
2014,Légumineuses,Fève,166680.3,190965.5
2014,Légumineuses,Féverole,40398.0,12650.0
2014,Légumineuses,Lentille,30670.749999999996,45862.6
2014,Légumineuses,Orobe,844.0,2140.0
2014,Légumineuses,Petit pois,23416.5,41487.0
2014,Légumineuses,Pois chiche,62499.4399999999,72564.0
2014,Maraîchage,Ail,7709.0,939.0
2014,Maraîchage,Artichaut,55234.0,3264.0
2014,Maraîchage,Asperge,2488.0,199.0
2014,Maraîchage,Aubergine,70291.0,2424.75
2014,Maraîchage,Autres cultures maraichères,240307.5,14667.6
2014,Maraîchage,Betterave potager,19701.0,750.0
2014,Maraîchage,Carotte,474055.8,15830.699999999999
2014,Maraîchage,Choux fleur,52113.0,2147.0
2014,Maraîchage,Choux pomme,64462.0,2510.0
2014,Maraîchage,Concombre,55439.25,1560.4499999999998
2014,Maraîchage,Courge courgette,215503.2,8269.124388318862
2014,Maraîchage,Fraisier,137388.0,3445.0
2014,Maraîchage,Framboise,15700.86,1192.07
2014,Maraîchage,Fève verte,157054.0,12471.300000000001
2014,Maraîchage,Haricot vert,148110.00000000003,5625.5
2014,Maraîchage,Melon,736545.5,22624.55
2014,Maraîchage,Menthe,85119.5,3451.2
2014,Maraîchage,Myrtille,7709.67,599.96
2014,Maraîchage,Navet,153516.0,7006.2
2014,Maraîchage,Niora,27854.0,1376.6
2014,Maraîchage,Oignon,813707.0,29349.299999999996
2014,Maraîchage,Oignon vert,56663.0,1793.0
2014,Maraîchage,Pastèque,724915.0,15968.7
2014,Maraîchage,Patate douce,16420.0,841.0
2014,Maraîchage,Petit Pois vert,97914.5,15966.6
2014,Maraîchage,Piment poivron,165248.0,4514.0
2014,Maraîchage,Pomme de terre,1950981.5000000002,63514.5
2014,Maraîchage,Tomate,1230952.7,15717.0
2014,Oliviers,Olivier,1573205.79,922973.39
2014,Oléagineuses,Arachide,38375.99999999999,16090.0
2014,Oléagineuses,Sésame,498.0,700.0
2014,Oléagineuses,Tournesol,27368.2,20898.0
2014,Palmiers-Dattiers,Palmier dattier,102201.0,57744.11000000001
2014,Rosacées,Abricotier,90273.555,12359.5824
2014,Rosacées,Autres plantations fruitières,52337.25,13988.82
2014,Rosacées,Avocatier,31895.5,2599.2
2014,Rosacées,Bananier,342475.0,8394.400000000001
2014,Rosacées,Caroubier,4055.0,673.9
2014,Rosacées,Cerisier,15523.6,1765.0
2014,Rosacées,Cognassier,45881.7,3463.4100000000003
2014,Rosacées,Figuier,126553.55723999997,54770.700000000004
2014,Rosacées,Grenadier,121745.9549999999,10180.859999999999
2014,Rosacées,Noyer,12508.514999999989,6960.45
2014,Rosacées,Néflier,5933.2,434.6
2014,Rosacées,Pacanier,218.0,75.0
2014,Rosacées,Pistachier,111.7,63.0
2014,Rosacées,Poirier,39587.08099999999,3235.5
2014,Rosacées,Pommier,536198.8120072563,43940.34348476849
2014,Rosacées,Prunier,92871.90178619343,14815.626089052992
2014,Rosacées,Pêcher-nectarine,73802.01000000001,6905.96
2014,Sucrières,Betterave à sucre,3208616.55,52954.0
2014,Sucrières,Canne à sucre,278551.0,7911.0
2014,Vignes,Raisin de cuve,114286.78009999999,9272.469599999999
2014,Vignes,Raisin de table,244674.03703282485,34051.79414999998
2015,Agrumes,Autres agrumes,4658.6,367.88000000000005
2015,Agrumes,Citron,29592.75,2826.77
2015,Agrumes,Orange_Autres,28777.927999999985,4522.45
2015,Agrumes,Orange_Maroc late,405171.3099999999,23857.379999999997
2015,Agrumes,Orange_Navel,316953.2899999999,19059.309999999998
2015,Agrumes,Orange_Navel lane late,14070.0,1583.6299999999999
2015,Agrumes,Orange_Navel late,8318.0,871.27
2015,Agrumes,Orange_Navelina,241.0,148.0
2015,Agrumes,Orange_Salustiana,25200.05,1071.54
2015,Agrumes,Orange_Washignton sanguine,70288.8999999999,3275.999999999999
2015,Agrumes,Pamplemousse,346.27500000000003,42.0
2015,Agrumes,Petit fruit_Autres,65147.79999999995,7129.79
2015,Agrumes,Petit fruit_Clémentine,544246.28,30040.36
2015,Agrumes,Petit fruit_Fortune,1506.0,95.5
2015,Agrumes,Petit fruit_Nador cott,112110.99999999999,4974.45
2015,Agrumes,Petit fruit_Nour,112354.115,7268.01
2015,Agrumes,Petit fruit_Nova,16017.079999999998,1176.27
2015,Agrumes,Petit fruit_Nules,123250.29999999999,7844.579999999998
2015,Agrumes,Petit fruit_Ortanique,18549.2,833.18
2015,Amandiers,Amandier,97722.95636999999,160017.81000000003
2015,Céréales,Autres céréales,12878.5,6471.8
2015,Céréales,Avoine,42088.64,36907.0
2015,Céréales,Blé dur,2406946.569763932,998536.0
2015,Céréales,Blé tendre,5667712.315129537,2275333.0
2015,Céréales,Mais,95031.65,125967.0
2015,Céréales,Orge,3396992.2916019205,2000164.0
2015,Céréales,Riz,63297.5,8309.7
2015,Céréales,Sorgho,5302.0,5060.0
2015,Fourragères,Autres cultures fourragères,112261.0,5814.387840670859
2015,Fourragères,Avoine vert,246954.0,37293.5
2015,Fourragères,Bersim,3645885.0,68475.76999999999
2015,Fourragères,Lupin,49628.0,3322.0
2015,Fourragères,Luzerne,5155246.370033202,98005.0
2015,Fourragères,Mais fourrager,1486666.2,31137.986
2015,Fourragères,Mélange fourrager,174434.0,22623.0
2015,Fourragères,Orge fourrager,1994915.0,116569.79
2015,Fourragères,Pois fourrager,100460.0,19257.0
2015,Fourragères,Sorgho fourrager,110720.0,3900.0
2015,Fourragères,Triticale,2331.0,670.0
2015,Fourragères,Vesce avoine,120580.0,12890.0
2015,Industrielles,Autres Cultures Industrielles,3423.0,1064.0
2015,Industrielles,Coriandre récoltée,3505.0,2650.0
2015,Industrielles,Cornichon,5.699999999999999,6.5
2015,Industrielles,Câprier,35616.0,26638.0
2015,Industrielles,Henné,7673.0,2310.0
2015,Industrielles,Piment de Cayenne,28.0,16.0
2015,Industrielles,Rosier,433.04999999999995,410.4
2015,Industrielles,Safran,4.202,1503.0
2015,Industrielles,Tabac,1062.0,830.0
2015,Légumineuses,Autres légumineuses,26535.8,16194.0
2015,Légumineuses,Fève,90279.35047297296,191300.06828135604
2015,Légumineuses,Féverole,29911.6,26247.0
2015,Légumineuses,Lentille,50003.950000000004,45494.8301
2015,Légumineuses,Orobe,2132.4,4550.0
2015,Légumineuses,Petit pois,34781.75,49791.7317
2015,Légumineuses,Pois chiche,65558.98999999999,59472.0
2015,Maraîchage,Ail,7397.0,1202.0
2015,Maraîchage,Artichaut,50744.0,3236.0
2015,Maraîchage,Asperge,658.0,58.0
2015,Maraîchage,Aubergine,56877.0,2056.0
2015,Maraîchage,Autres cultures maraichères,256908.0,14389.02
2015,Maraîchage,Betterave potager,18703.5,808.0
2015,Maraîchage,Carotte,413877.9,15177.0
2015,Maraîchage,Choux fleur,45625.0,1932.0
2015,Maraîchage,Choux pomme,50662.0,1927.0
2015,Maraîchage,Concombre,55478.5,1302.05
2015,Maraîchage,Courge courgette,201226.9,8241.65
2015,Maraîchage,Fraisier,141100.36,3400.0
2015,Maraîchage,Framboise,16957.686909787688,1442.999999999999
2015,Maraîchage,Fève verte,157236.0,12352.2
2015,Maraîchage,Haricot vert,145661.2,5221.8
2015,Maraîchage,Melon,654074.5,20843.5
2015,Maraîchage,Menthe,99869.0,3164.2
